fecha,hora,hora_numerica,temperatura,humedad,presion_atmosferica,velocidad_viento,nubosidad,radiacion_solar,angulo_zenital,precipitacion
2024-01-01,00:00:00,0.0,15.5,90.1,1020.2,3.7,8,0.0,0.0,4.4
2024-01-01,01:00:00,1.0,13.9,71.1,1008.7,8.0,3,0.0,0.0,0.6
2024-01-01,02:00:00,2.0,17.0,85.1,1017.1,6.1,5,27.1,0.0,0.3
2024-01-01,03:00:00,3.0,20.9,71.3,1021.9,1.2,7,0.0,0.0,1.2
2024-01-01,04:00:00,4.0,17.3,85.1,1012.8,1.8,8,15.0,0.0,1.9
2024-01-01,05:00:00,5.0,19.2,72.8,1003.4,1.3,2,8.7,0.0,0.1
2024-01-01,06:00:00,6.0,26.7,79.8,1015.8,2.9,1,0.0,0.2,0.6
2024-01-01,07:00:00,7.0,26.4,82.8,1011.9,3.7,5,97.9,20.0,0.1
2024-01-01,08:00:00,8.0,24.6,74.0,1017.2,4.1,3,166.0,43.2,0.1
2024-01-01,09:00:00,9.0,29.3,44.7,1010.7,7.2,0,362.6,62.4,1.4
2024-01-01,10:00:00,10.0,27.5,49.5,1024.9,0.5,7,272.8,76.3,5.3
2024-01-01,11:00:00,11.0,28.3,64.2,1013.5,3.6,8,278.5,86.1,0.9
2024-01-01,12:00:00,12.0,30.7,70.6,1017.0,3.5,8,235.5,90.0,0.2
2024-01-01,13:00:00,13.0,24.0,51.9,1008.0,9.1,1,439.4,85.7,0.3
2024-01-01,14:00:00,14.0,23.8,58.3,1007.1,2.4,8,231.7,77.1,2.1
2024-01-01,15:00:00,15.0,26.0,63.3,1006.5,99999.0,6,213.8,57.9,7.7
2024-01-01,16:00:00,16.0,23.0,72.1,1006.5,1.8,4,141.3,41.0,0.6
2024-01-01,17:00:00,17.0,25.0,72.2,1016.4,4.2,6,69.1,23.5,0.7
2024-01-01,18:00:00,18.0,19.3,71.4,1010.0,3.4,8,7.0,3.4,0.5
2024-01-01,19:00:00,19.0,15.7,87.0,1006.6,6.0,7,26.7,0.0,1.3
2024-01-01,20:00:00,20.0,22.4,90.5,1009.5,3.0,5,42.2,0.0,0.8
2024-01-01,21:00:00,21.0,15.7,91.5,1016.5,1.7,3,3.1,0.0,0.1
2024-01-01,22:00:00,22.0,15.3,62.1,1016.4,3.4,0,14.2,0.0,0.2
2024-01-01,23:00:00,23.0,10.0,89.6,1018.0,7.6,5,24.0,0.0,0.9
2024-01-02,00:00:00,0.0,12.4,85.9,1011.6,3.5,2,0.0,0.0,0.8
2024-01-02,01:00:00,1.0,14.6,75.4,1023.0,6.9,5,0.0,0.0,1.7
2024-01-02,02:00:00,2.0,11.6,65.6,1018.4,3.3,5,2.6,0.0,0.1
2024-01-02,03:00:00,3.0,17.5,76.2,1007.1,2.7,3,38.9,0.0,0.4
2024-01-02,04:00:00,4.0,16.2,82.0,1017.1,6.2,1,15.7,0.0,0.0
2024-01-02,05:00:00,5.0,19.1,69.9,1013.1,2.2,8,8.2,0.0,2.1
2024-01-02,06:00:00,6.0,20.2,88.8,1012.2,2.4,1,0.0,0.0,0.1
2024-01-02,07:00:00,7.0,29.6,77.5,1013.0,1.0,2,124.5,19.8,1.2
2024-01-02,08:00:00,8.0,26.0,65.3,1009.7,2.1,0,235.0,47.1,0.6
2024-01-02,09:00:00,9.0,24.5,52.9,1018.0,3.3,6,206.7,66.5,0.9
2024-01-02,10:00:00,10.0,31.4,45.8,1010.1,3.4,0,415.5,77.1,0.1
2024-01-02,11:00:00,11.0,26.1,64.0,1010.2,3.6,8,284.5,89.2,3.7
2024-01-02,12:00:00,null,30.6,49.2,1016.8,3.9,0,478.7,90.0,0.1
2024-01-02,13:00:00,13.0,23.8,48.5,1023.9,4.6,4,356.9,88.1,0.3
2024-01-02,14:00:00,14.0,24.9,53.9,1010.5,2.1,6,288.8,80.6,5.2
2024-01-02,15:00:00,15.0,28.2,51.5,1006.8,4.9,2,289.0,63.4,0.4
2024-01-02,16:00:00,16.0,28.2,65.2,1018.7,3.0,8,135.6,47.7,3.0
2024-01-02,17:00:00,17.0,24.6,68.3,1014.0,5.8,-999.0,80.7,22.9,0.2
2024-01-02,18:00:00,18.0,21.7,73.1,1015.5,4.5,2,0.0,0.0,0.4
2024-01-02,19:00:00,19.0,19.0,78.2,1013.2,4.4,4,0.0,0.0,0.6
2024-01-02,20:00:00,20.0,13.6,81.2,,5.4,6,0.0,0.0,6.4
2024-01-02,21:00:00,21.0,14.2,87.1,1014.8,3.0,3,34.6,0.0,0.1
2024-01-02,22:00:00,22.0,13.7,66.2,1010.4,3.6,4,6.4,0.0,0.4
2024-01-02,23:00:00,23.0,17.4,89.5,1016.5,4.6,2,0.0,0.0,0.2
2024-01-03,00:00:00,0.0,15.0,74.3,1015.5,3.6,8,3.2,0.0,0.6
2024-01-03,01:00:00,1.0,9.0,96.9,1011.1,3.7,8,4.3,-0.0,0.8
2024-01-03,02:00:00,2.0,16.0,85.6,1012.1,,6,0.0,0.0,0.2
2024-01-03,03:00:00,3.0,15.2,82.6,1009.1,2.7,1,33.5,0.0,0.9
2024-01-03,04:00:00,4.0,16.0,79.4,1015.3,5.5,6,0.0,0.0,6.5
2024-01-03,05:00:00,5.0,21.8,91.5,1015.4,0.2,6,52.3,,2.4
2024-01-03,06:00:00,6.0,25.1,75.9,1012.8,1.4,4,19.9,5.3,1.0
2024-01-03,07:00:00,7.0,26.9,86.4,1007.3,9.2,8,39.2,19.0,1.0
2024-01-03,08:00:00,8.0,23.5,59.2,1002.9,2.1,2,212.5,46.2,0.2
2024-01-03,09:00:00,9.0,26.7,61.8,1011.8,3.6,3,313.5,65.7,0.2
2024-01-03,10:00:00,10.0,29.9,62.7,1014.2,7.1,0,427.9,78.0,0.3
2024-01-03,11:00:00,11.0,32.7,43.9,1016.2,0.0,5,368.2,90.0,0.6
2024-01-03,12:00:00,12.0,28.6,53.6,1018.7,8.5,3,401.4,90.0,0.3
2024-01-03,13:00:00,13.0,29.2,38.5,1011.2,1.0,0,481.9,90.0,0.3
2024-01-03,14:00:00,14.0,25.6,52.0,1005.1,2.0,1,431.5,80.4,0.8
2024-01-03,15:00:00,15.0,24.1,71.1,1010.4,0.7,2,326.8,68.1,0.0
2024-01-03,16:00:00,16.0,28.4,61.9,1023.9,4.2,8,107.1,45.5,0.9
2024-01-03,17:00:00,17.0,28.1,72.1,1021.2,9.0,7,86.0,19.4,2.2
2024-01-03,18:00:00,18.0,21.8,71.5,1015.1,7.0,6,4.2,1.6,3.6
2024-01-03,19:00:00,19.0,22.9,77.1,1010.8,5.1,3,0.0,0.0,1.3
2024-01-03,20:00:00,20.0,19.1,84.2,1012.5,2.1,0,0.0,0.0,0.8
2024-01-03,21:00:00,21.0,14.4,78.3,1021.6,7.4,7,0.0,0.0,0.9
2024-01-03,22:00:00,22.0,16.2,92.7,1014.0,6.0,3,,0.0,0.5
2024-01-03,23:00:00,23.0,18.9,83.2,1011.1,2.6,2,0.0,0.0,0.9
2024-01-04,00:00:00,0.0,13.9,69.4,1019.6,6.6,8,12.6,0.0,2.8
2024-01-04,01:00:00,1.0,19.0,80.5,1003.3,7.5,3,20.5,0.0,0.6
